,name,hx,route_zx_dis,fzxxs_base
111,59路(凉城路广灵四路--杨高中路民生路),23.56780829745367,11.892461431492034,1.9817435131674705
112,59路(杨高中路民生路--凉城路广灵四路),23.645953324677098,11.876314058160755,1.9910178535931262
113,60路(定海桥--逸仙路仁德路),12.657639861421353,9.495136478434048,1.333065605762506
114,60路(逸仙路仁德路--定海桥),13.3464905025082,9.496139547248028,1.405464866654787
115,61路(吴淞路天潼路--政悦路国伟路),17.60024549712481,11.691561106765286,1.505380276970924
116,61路(政悦路国伟路--吴淞路天潼路),17.528598999481993,11.723568400752352,1.495159016460987
117,6路(武进路河南北路--长白路图们路),10.351676678453508,8.953159280062042,1.1562037884778673
118,6路(长白路图们路--武进路河南北路),11.051370010934052,8.93253612284407,1.2372040660066603
119,70路(兰州路杨树浦路--四川北路多伦路),10.787643512523202,5.9245178496899475,1.8208474995290562
120,70路(四川北路多伦路--兰州路杨树浦路),9.861094379045728,5.914548317754225,1.667260769422545
121,713路(淞南新村--锦西路打虎山路),16.84798485594506,9.122221032603473,1.8469169729311703
122,713路(锦西路打虎山路--淞南新村),17.558322633218317,9.115622952826472,1.9261791239153903
123,723路(虹口足球场(花园路)--香山新村),20.08515736145852,10.820904856934048,1.8561439756665017
124,723路(香山新村--虹口足球场(花园路)),20.34079382250384,10.80134511923317,1.8831722899293781
125,726路(三泉路保德路--安波路营口路),20.634542091546,10.380881851944524,1.9877446238038805
126,726路(安波路营口路--三泉路保德路),20.94299392571912,10.380881851944524,2.0174580757603096
127,746路(大柏树(东体育会路)--花木新村),18.05614116804605,13.018795513581711,1.3869287023679868
128,746路(花木新村--大柏树(东体育会路)),18.879120614403554,13.013339155500919,1.4507514473272671
129,749路(三门路新江湾城--虎林路共江路),15.155745597426948,6.36639289712316,2.3805859679624097
130,749路(虎林路共江路--三门路新江湾城),15.109771767934598,6.356489862080255,2.3770621987572405
131,751路(淞南镇--虹镇老街飞虹路),14.666273848638854,10.356848362321456,1.4160942919658093
132,751路(虹镇老街飞虹路--淞南镇),13.749852645517892,10.356848362321456,1.3276097287993802
133,758路(原平路阳城路--政立路市光路),13.191131239832279,10.053744479309627,1.3120615176742676
134,758路(政立路市光路--原平路阳城路),14.987520169173452,10.066572315686901,1.4888404611983126
135,79路(原平路阳城路--天章路秦皇岛路),14.445553685568036,10.318400722656675,1.3999799071428916
136,79路(天章路秦皇岛路--原平路阳城路),14.371071053942721,10.289795922152617,1.3966332435227058
137,80路(安波路营口路--怀德路杨树浦路),10.502954998960984,6.449403321502294,1.6285157673337252
138,80路(怀德路杨树浦路--安波路营口路),10.889953128845542,6.481845714565061,1.6800697838850474
139,812路(共和新路长江西路--长阳路军工路),23.200191284791927,14.521988285935446,1.5975905522015414
140,812路(长阳路军工路--共和新路长江西路),22.77469961953383,14.490937559565443,1.5716512148311819
141,813路(宝山--杨浦大桥),29.06789011169039,20.278648526720797,1.4334234391107559
142,813路(杨浦大桥--宝山),27.644829934039745,20.277177775160435,1.3633470219857071
143,819路(东绣路锦和路--吉浦路仁德路),26.79150241627468,14.275792262190418,1.8767086214354807
144,819路(吉浦路仁德路--东绣路锦和路),27.392335626412283,14.239440156321837,1.923694704686195
145,842路(工农新村--平凉路大连路),15.817068591659497,10.510737300496697,1.5048486266431609
146,842路(平凉路大连路--工农新村),15.243669300282185,10.511777774324626,1.4501514042196901
147,843路(东靖路金京路--阜新路彰武路),29.905851133318787,12.17863787197925,2.4555990126060414
148,843路(阜新路彰武路--东靖路金京路),28.729873513320143,12.127675093135416,2.3689514513447025
149,850路(康宁路枢纽站--政通路淞沪路),15.376394920150835,10.55624190714472,1.4566163844486852
150,850路(政通路淞沪路--康宁路枢纽站),16.764112689336834,10.54885172076655,1.5891883906506028
151,853路(凉城新村--杨浦大桥),12.588463651409226,8.68397706703769,1.449619633288996
152,853路(杨浦大桥--凉城新村),12.966115249921257,8.71315690189721,1.4881076280283674
