,name,hx
175,962路(上海火车站(北广场)--松潘路杨树浦路),0.9027146155074628
127,746路(大柏树(东体育会路)--花木新村),0.9028070584023025
135,79路(原平路阳城路--天章路秦皇岛路),0.9028471053480023
11,118路(安图路松花江路--一二八纪念路阳曲路),0.9059236581739601
65,308路(上海火车站(南广场)--松花江路延吉东路),0.9151285223026857
201,春运8线(原308路)(上海火车站(南广场)--松花江路延吉东路),0.9151285223026857
188,DZ118线(天章路秦皇岛路--天章路秦皇岛路),0.9197803398336662
176,962路(松潘路杨树浦路--上海火车站(北广场)),0.923626387060664
92,537路(老西门--开鲁路白城路),0.9257410035513495
10,118路(一二八纪念路阳曲路--安图路松花江路),0.9287224320061771
179,975路(上海科技馆--广灵四路广粤路),0.9387352739469922
112,59路(杨高中路民生路--凉城路广灵四路),0.945838132987084
64,307路(新江湾城(世界路)--中山东二路新开河路),0.9519402474724378
71,329路(上海火车站(南广场)--工农新村),0.9526138511033496
198,春运13线(原329路)(上海火车站南广场--工农新村),0.9526138511033496
123,723路(虹口足球场(花园路)--香山新村),0.9564360648313581
199,春运1线(原申川专线)(上海火车站(南广场)--川沙客运站),0.9590350731345189
205,申川专线(上海火车站(南广场)--川沙客运站),0.9592074632024985
206,申川专线(川沙客运站--上海火车站(南广场)),0.9641143373992107
166,90路(靖宇南路控江路--淞宝路淞青路),0.965124725447193
82,406路(国定路政立路--东靖路金京路),0.9683552101351193
158,870路(陆家嘴西路滨江大道--新江湾城(世界路)),0.9735744533861055
66,308路(松花江路延吉东路--上海火车站(南广场)),0.9747078227087934
84,453路(港城路地铁站--五角场(翔殷路)),0.9804336508420755
163,8路(三门路市光路--博山东路枣庄路),0.9822672277382394
81,406路(东靖路金京路--国定路政立路),0.9929902606323644
14,1213路(世界路国和路--世界路国和路),0.9990348547831003
72,329路(工农新村--上海火车站(南广场)),1.0045029558058938
50,195路(军工路翔殷路--军工路翔殷路),1.0114662906335599
62,302路(宝山巴士--上海火车站(南广场)),1.0127274982209984
180,975路(广灵四路广粤路--上海科技馆),1.018887979283261
91,537路(开鲁路白城路--老西门),1.0201802911648998
87,51路(人民广场(武胜路)--宝杨码头),1.0331715401742048
42,155路(昆明路海门路--栖山路巨野路),1.0362472366218332
43,155路(栖山路巨野路--昆明路海门路),1.0429338373709454
23,123路(巴林路伊敏河路--人民广场),1.0547850523006315
88,51路(宝杨码头--人民广场(武胜路)),1.0572601913524484
157,870路(新江湾城(世界路)--陆家嘴西路滨江大道),1.0662124066229979
106,576路(芦恒路枢纽站--曲阳路玉田路),1.083869146105014
22,123路(人民广场--巴林路伊敏河路),1.0869271547542925
105,576路(曲阳路玉田路--芦恒路枢纽站),1.1134134703759364
124,723路(香山新村--虹口足球场(花园路)),1.1300441012502134
200,春运5线(原302路)(上海火车站(南广场)--宝山巴士),1.1398856984891295
61,302路(上海火车站(南广场)--宝山巴士),1.1408101114970093
164,8路(博山东路枣庄路--三门路市光路),1.1741001539510123
